연료원,지역,거래일,충전량 합계(Wh),방전량 합계(Wh)
ESS,서울시,2023-06-20,187280,133320
ESS,세종시,2023-06-20,5997120,5310080
ESS,울산시,2023-06-20,2255720,1803800
ESS,인천시,2023-06-20,14971165,10587936
ESS,전라남도,2023-06-20,1700689239,1500589640
ESS,전라북도,2023-06-20,211505682,186552472
ESS,제주도,2023-06-20,77779858,66878685
ESS,충청남도,2023-06-20,288904580,254456495
ESS,충청북도,2023-06-20,170698938,152182568
ESS,강원도,2023-06-21,160630946,142711935
ESS,경기도,2023-06-21,32449615,27004229
ESS,경상남도,2023-06-21,50105589,41670518
ESS,경상북도,2023-06-21,146073557,152238966
ESS,광주시,2023-06-21,3621520,2772160
ESS,대구시,2023-06-21,3939640,3898006
ESS,대전시,2023-06-21,92280,63160
ESS,부산시,2023-06-21,4064248,3815792
ESS,서울시,2023-06-21,180840,126360
ESS,세종시,2023-06-21,1173520,963960
ESS,울산시,2023-06-21,441260,314900
ESS,인천시,2023-06-21,21135985,12669143
ESS,전라남도,2023-06-21,687227144,570390222
ESS,전라북도,2023-06-21,104048671,86702092
ESS,제주도,2023-06-21,71871014,51197394
ESS,충청남도,2023-06-21,265226393,226340493
ESS,충청북도,2023-06-21,65700453,55391668
ESS,강원도,2023-06-22,351850740,307534282
ESS,경기도,2023-06-22,97482333,84633797
ESS,경상남도,2023-06-22,164862953,136054120
ESS,경상북도,2023-06-22,365224278,340794442
ESS,광주시,2023-06-22,11023360,10153680
ESS,대구시,2023-06-22,13972686,11960234
ESS,대전시,2023-06-22,277840,227760
ESS,부산시,2023-06-22,13297476,11568236
ESS,서울시,2023-06-22,672640,582040
ESS,세종시,2023-06-22,8119060,7067520
ESS,울산시,2023-06-22,1733520,1149200
ESS,인천시,2023-06-22,39861381,33897463
ESS,전라남도,2023-06-22,2441340749,2212357092
ESS,전라북도,2023-06-22,292771469,255209581
ESS,제주도,2023-06-22,69182041,69592878
ESS,충청남도,2023-06-22,595218823,520615901
ESS,충청북도,2023-06-22,210138085,185873002
ESS,강원도,2023-06-23,382554886,347221696
ESS,경기도,2023-06-23,105173235,92417851
ESS,경상남도,2023-06-23,167294936,149539308
ESS,경상북도,2023-06-23,385898195,314696255
ESS,광주시,2023-06-23,12355120,10837840
ESS,대구시,2023-06-23,14332676,12095804
ESS,대전시,2023-06-23,282880,228120
ESS,부산시,2023-06-23,14089676,14583232
ESS,서울시,2023-06-23,755680,666840
ESS,세종시,2023-06-23,7842140,6979000
ESS,울산시,2023-06-23,2046460,1409320
ESS,인천시,2023-06-23,27240008,26768176
ESS,전라남도,2023-06-23,2483034269,2230776978
ESS,전라북도,2023-06-23,315006005,272275816
ESS,제주도,2023-06-23,53822183,50459521
ESS,충청남도,2023-06-23,590870303,524221510
ESS,충청북도,2023-06-23,226919215,198569898
ESS,강원도,2023-06-24,381665960,339261700
ESS,경기도,2023-06-24,107094197,88881402
ESS,경상남도,2023-06-24,161577292,148036990
ESS,경상북도,2023-06-24,365152058,324834923
ESS,광주시,2023-06-24,12298640,10753080
ESS,대구시,2023-06-24,13291048,11659690
ESS,대전시,2023-06-24,284240,228160
ESS,부산시,2023-06-24,13908040,12447784
ESS,서울시,2023-06-24,799520,706640
ESS,세종시,2023-06-24,8552400,7605520
ESS,울산시,2023-06-24,1756280,1406440
ESS,인천시,2023-06-24,37646384,22752969
ESS,전라남도,2023-06-24,2489058166,2236294454
ESS,전라북도,2023-06-24,307529043,271056328
ESS,제주도,2023-06-24,72129117,56446858
ESS,충청남도,2023-06-24,589865336,525282127
ESS,충청북도,2023-06-24,225263044,203409098
ESS,강원도,2023-06-25,373825128,332176436
ESS,경기도,2023-06-25,100972405,92514221
ESS,경상남도,2023-06-25,122098042,101288939
ESS,경상북도,2023-06-25,366364446,321180086
ESS,광주시,2023-06-25,10100640,8202680
ESS,대구시,2023-06-25,14116032,12216552
ESS,대전시,2023-06-25,22560,0
ESS,부산시,2023-06-25,12897924,11621804
ESS,서울시,2023-06-25,796240,703640
ESS,세종시,2023-06-25,8166760,7279220
ESS,울산시,2023-06-25,1367960,1139640
ESS,인천시,2023-06-25,27170793,29245316
ESS,전라남도,2023-06-25,1303760621,1120876682
ESS,전라북도,2023-06-25,283624032,248935041
ESS,제주도,2023-06-25,50312067,42914944
ESS,충청남도,2023-06-25,586597043,520006603
ESS,충청북도,2023-06-25,224061043,200616806
ESS,강원도,2023-06-26,125544452,92335804
ESS,경기도,2023-06-26,24510324,19689871
ESS,경상남도,2023-06-26,55131151,42973610
ESS,경상북도,2023-06-26,214564099,148291407
ESS,광주시,2023-06-26,4983400,4187960
ESS,대구시,2023-06-26,6413584,5332608
ESS,대전시,2023-06-26,68240,42040
ESS,부산시,2023-06-26,3828508,3427444
ESS,서울시,2023-06-26,125360,83840
ESS,세종시,2023-06-26,2003820,1715600
ESS,울산시,2023-06-26,675200,790460
ESS,인천시,2023-06-26,41953900,20490937
ESS,전라남도,2023-06-26,630327143,525947403
ESS,전라북도,2023-06-26,103907076,88025196
ESS,제주도,2023-06-26,83410113,65400054
ESS,충청남도,2023-06-26,226221941,198201789
ESS,충청북도,2023-06-26,55199675,45800932
ESS,강원도,2023-06-27,356427948,312283282
ESS,경기도,2023-06-27,98130246,84637516
ESS,경상남도,2023-06-27,137064236,120789992
ESS,경상북도,2023-06-27,403064786,354414884
ESS,광주시,2023-06-27,10861080,9246000
ESS,대구시,2023-06-27,14405308,12458494
ESS,대전시,2023-06-27,284480,226760
ESS,부산시,2023-06-27,10647976,9365056
ESS,서울시,2023-06-27,808720,705080
ESS,세종시,2023-06-27,8697680,7595500
ESS,울산시,2023-06-27,2039720,1702220
ESS,인천시,2023-06-27,30082328,33192487
ESS,전라남도,2023-06-27,1996530405,1761175918
ESS,전라북도,2023-06-27,296244027,254364201
ESS,제주도,2023-06-27,74929493,67233106
ESS,충청남도,2023-06-27,600911739,522869969
ESS,충청북도,2023-06-27,226403185,198946178
ESS,강원도,2023-06-28,395121974,351175115
ESS,경기도,2023-06-28,93142464,80052812
ESS,경상남도,2023-06-28,144990932,120951660
ESS,경상북도,2023-06-28,400060928,344171427
ESS,광주시,2023-06-28,5081280,4194000
ESS,대구시,2023-06-28,13188664,11446402
ESS,대전시,2023-06-28,241040,194080
ESS,부산시,2023-06-28,11963112,9797852
ESS,서울시,2023-06-28,623360,541440
ESS,세종시,2023-06-28,6246160,4791100
ESS,울산시,2023-06-28,1394100,1155320
ESS,인천시,2023-06-28,25770360,23996122
ESS,전라남도,2023-06-28,783453149,642729263
ESS,전라북도,2023-06-28,207912022,187396783
ESS,제주도,2023-06-28,74087579,69354064
ESS,충청남도,2023-06-28,355754747,317569599
ESS,충청북도,2023-06-28,208947306,185198371
ESS,강원도,2023-06-29,95702758,76883139
ESS,경기도,2023-06-29,12681787,8698211
ESS,경상남도,2023-06-29,50590932,39395547
ESS,경상북도,2023-06-29,197029685,163459440
ESS,광주시,2023-06-29,1873800,1247600
ESS,대구시,2023-06-29,6943072,5778076
ESS,대전시,2023-06-29,40280,13360
ESS,부산시,2023-06-29,4985936,4930640
ESS,서울시,2023-06-29,95320,61560
ESS,세종시,2023-06-29,557940,417360
ESS,울산시,2023-06-29,809240,555140
ESS,인천시,2023-06-29,34442261,16680404
ESS,전라남도,2023-06-29,523450658,455489466
ESS,전라북도,2023-06-29,38336275,26178514
ESS,제주도,2023-06-29,77943487,64831771
ESS,충청남도,2023-06-29,40247225,20811385
ESS,충청북도,2023-06-29,42605638,35067790
ESS,강원도,2023-06-30,257679835,238098085
ESS,경기도,2023-06-30,80040456,67750085
ESS,경상남도,2023-06-30,41685576,42038412
ESS,경상북도,2023-06-30,112592910,153555640
ESS,광주시,2023-06-30,3860480,2960720
ESS,대구시,2023-06-30,5116966,4116964
ESS,대전시,2023-06-30,88840,56840
ESS,부산시,2023-06-30,4495820,3617560
ESS,서울시,2023-06-30,385520,306520
ESS,세종시,2023-06-30,2896620,2376360
ESS,울산시,2023-06-30,513100,380940
ESS,인천시,2023-06-30,17246691,28314988
ESS,전라남도,2023-06-30,805174462,717319948
ESS,전라북도,2023-06-30,96905941,78540701
ESS,제주도,2023-06-30,57102097,59382610
ESS,충청남도,2023-06-30,314372765,266437950
ESS,충청북도,2023-06-30,119363072,102156674
ESS,강원도,2023-07-01,398442180,323555896
ESS,경기도,2023-07-01,99493168,87573739
ESS,경상남도,2023-07-01,100900166,83270153
ESS,경상북도,2023-07-01,397108993,279242284
ESS,광주시,2023-07-01,9111520,7922320
ESS,대구시,2023-07-01,14093114,12169720
ESS,대전시,2023-07-01,281200,226200
ESS,부산시,2023-07-01,11118632,9617696
ESS,서울시,2023-07-01,803440,706160
ESS,세종시,2023-07-01,4192680,3609800
ESS,울산시,2023-07-01,1457600,1228340
ESS,인천시,2023-07-01,23048381,17960908
ESS,전라남도,2023-07-01,2082369223,1837595706
ESS,전라북도,2023-07-01,281365587,242135063
ESS,제주도,2023-07-01,22061127,22794515
ESS,충청남도,2023-07-01,573212892,500003196
ESS,충청북도,2023-07-01,230317214,202557123
ESS,강원도,2023-07-02,359888269,334278099
ESS,경기도,2023-07-02,92603261,81781308
ESS,경상남도,2023-07-02,153917480,131110552
ESS,경상북도,2023-07-02,369549170,359893093
ESS,광주시,2023-07-02,10632240,9613960
ESS,대구시,2023-07-02,14192084,12357004
ESS,대전시,2023-07-02,284280,227080
ESS,부산시,2023-07-02,13174236,11592336
ESS,서울시,2023-07-02,717040,630280
ESS,세종시,2023-07-02,3916240,3352300
ESS,울산시,2023-07-02,1660420,1405660
ESS,인천시,2023-07-02,19992108,14738398
ESS,전라남도,2023-07-02,2226797067,1969777581
ESS,전라북도,2023-07-02,297440997,266026928
ESS,제주도,2023-07-02,41596160,31771925
ESS,충청남도,2023-07-02,549356148,487249324
ESS,충청북도,2023-07-02,225021514,200951561
ESS,강원도,2023-07-03,347607877,316511922
ESS,경기도,2023-07-03,102226150,88173087
ESS,경상남도,2023-07-03,140342293,122441714
ESS,경상북도,2023-07-03,398333312,341305406
ESS,광주시,2023-07-03,10796800,9754840
ESS,대구시,2023-07-03,13913032,12116554
ESS,대전시,2023-07-03,268880,212800
ESS,부산시,2023-07-03,14456676,11493072
ESS,서울시,2023-07-03,800600,706560
ESS,세종시,2023-07-03,7624240,6643580
ESS,울산시,2023-07-03,1966060,1532360
ESS,인천시,2023-07-03,27392984,23735997
ESS,전라남도,2023-07-03,1695909956,1490567844
ESS,전라북도,2023-07-03,290572591,257093606
ESS,제주도,2023-07-03,25679447,19541867
ESS,충청남도,2023-07-03,562815762,500152404
ESS,충청북도,2023-07-03,220505408,198903162
ESS,강원도,2023-07-04,324437031,277118485
ESS,경기도,2023-07-04,56865574,49652655
ESS,경상남도,2023-07-04,55974280,36882568
ESS,경상북도,2023-07-04,180153930,179054825
ESS,광주시,2023-07-04,3789760,2999360
ESS,대구시,2023-07-04,7769228,6499330
ESS,대전시,2023-07-04,51200,22920
ESS,부산시,2023-07-04,8765788,8577992
ESS,서울시,2023-07-04,265960,206560
ESS,세종시,2023-07-04,1615260,1342780
ESS,울산시,2023-07-04,1419180,945560
ESS,인천시,2023-07-04,27639047,8424141
ESS,전라남도,2023-07-04,880845245,760447067
ESS,전라북도,2023-07-04,54214905,40187863
ESS,제주도,2023-07-04,35326951,25749647
ESS,충청남도,2023-07-04,85538775,68938325
ESS,충청북도,2023-07-04,145690035,128875324
ESS,강원도,2023-07-05,326325176,288056386
ESS,경기도,2023-07-05,94215648,80859324
ESS,경상남도,2023-07-05,171352786,145036764
ESS,경상북도,2023-07-05,454787855,351207386
ESS,광주시,2023-07-05,11437760,10022240
ESS,대구시,2023-07-05,14215222,12316564
ESS,대전시,2023-07-05,281080,227160
ESS,부산시,2023-07-05,11181760,10100384
ESS,서울시,2023-07-05,806720,705960
ESS,세종시,2023-07-05,7471080,6485740
ESS,울산시,2023-07-05,2198540,1711020
ESS,인천시,2023-07-05,40500321,34595705
ESS,전라남도,2023-07-05,2426464938,2180025822
ESS,전라북도,2023-07-05,295405403,258912955
ESS,제주도,2023-07-05,61934242,57992909
ESS,충청남도,2023-07-05,537538593,463915474
ESS,충청북도,2023-07-05,163834484,143700017
ESS,강원도,2023-07-06,352875466,307570694
ESS,경기도,2023-07-06,101611165,90170205
